observation_path,observation,model,source_class,agent_framework,has_aavso_summary,aavso_summary_path,target_star_error_px,target_x_observed,target_y_observed,target_x_truth,target_y_truth,ephemerides_exact_match_fraction,ephemerides_extraction_difference_percent,nasa_ephemerides_difference_percent,exotic_generation_difference_percent,time_taken_minutes,report_word_count
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-7 b (ReAct+Skills),KELT-7 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-7 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-7 b_01-06-2017.txt,250.169,548.000,376.000,734.566,542.666,1.000,0.000,49.075,49.730,17.590,351
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-9 b (ReAct+Skills),KELT-9 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-9 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-9 b_2023-09-24.txt,1099.831,1001.000,994.000,252.236,188.407,1.000,0.000,43.045,33.123,143.297,393
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-1 b (ReAct+Skills),Qatar-1 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-1 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_Qatar-1 b_2026-08-03.txt,133.033,325.000,250.000,274.360,126.982,1.000,0.000,18.804,5.934,48.622,342
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-10 b (ReAct+Skills),Qatar-10 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-10 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_Qatar-10 b_07-15-2024.txt,0.498,932.000,1174.000,931.518,1173.875,1.000,0.000,15.387,15.613,37.836,308
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-1 b (ReAct+Skills),TrES-1 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-1 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_TrES-1 b_2026-08-02.txt,286.556,333.000,308.000,118.574,117.906,1.000,0.000,24.217,17.938,18.382,352
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-2 b (ReAct+Skills),TrES-2 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-2 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_TrES-2 b_2023-08-17.txt,3.075,1151.000,1200.000,1151.597,1203.016,1.000,0.333,23.889,10.752,44.053,327
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-183 b (ReAct+Skills),WASP-183 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-183 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-183 b_03-29-2025.txt,152.662,1335.000,1194.000,1182.339,1194.598,1.000,0.000,24.992,2.256,28.711,326
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-43 b (ReAct+Skills),WASP-43 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-43 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-43 b_03-12-2026.txt,950.782,518.000,534.000,1194.836,1201.742,,,6.626,6.870,15.584,0
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-44 b (ReAct+Skills),WASP-44 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,no,,739.547,640.000,480.000,23.349,71.746,,,,,2.463,0
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-65 b (ReAct+Skills),WASP-65 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-65 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-65 b_2026-03-12.txt,1.750,1176.000,1147.000,1177.536,1147.838,0.500,0.864,21.377,17.551,21.358,361
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-69 b (ReAct+Skills),WASP-69 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-69 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-69 b_09-24-2025.txt,1.330,1203.000,1220.000,1203.675,1221.146,1.000,0.000,32.039,8.458,28.584,404
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/CoRoT-2_b_ReAct,CoRoT-2 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/CoRoT-2_b_ReAct/output/AAVSO_CoRoT-2 b_08-02-2026.txt,267.023,247.000,211.000,4.607,98.987,1.000,0.123,28.562,49.700,46.499,897
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-13_b_ReAct,HAT-P-13 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,no,,1189.240,240.000,360.000,1106.857,1174.157,,,,,19.527,614
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-19_b_ReAct,HAT-P-19 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,no,,376.410,420.000,280.000,77.659,123.518,,,,,8.136,0
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-20_b_ReAct,HAT-P-20 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-20_b_ReAct/output/AAVSO_HAT-P-20 b_02-04-2025.txt,2.381,1244.000,1173.000,1245.154,1170.917,0.750,2475.000,48.462,54.167,41.980,474
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-30_b_ReAct,HAT-P-30 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,no,,1165.677,543.000,391.000,1520.871,1025.484,,,,,24.936,599
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-36_b_ReAct,HAT-P-36 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,no,,1.353,1174.000,1180.000,1174.920,1180.991,,,,,62.786,787
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HD_189733_b_ReAct,HD 189733 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,no,,0.401,1211.000,1197.000,1211.379,1196.869,,,,,33.988,500
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-16_b_ReAct,KELT-16 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-16_b_ReAct/output/AAVSO_KELT-16 b_07-08-2026.txt,6.046,1200.000,1200.000,1197.448,1205.481,0.500,2475.636,22.549,17.944,76.586,526
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-20_b_ReAct,KELT-20 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,no,,60.194,1192.000,1199.000,1136.163,1221.486,,,,,24.262,453
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-7_b_ReAct,KELT-7 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-7_b_ReAct/output/AAVSO_KELT-7 b_01-06-2017.txt,1.760,734.000,541.000,734.566,542.666,0.750,2475.000,39.313,15.349,27.741,392
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-9_b_ReAct,KELT-9 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-9_b_ReAct/output/AAVSO_KELT-9 b_09-25-2023.txt,4.967,257.000,187.000,252.236,188.407,0.250,3907.347,29.500,5.777,153.355,603
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-10_b_ReAct,Qatar-10 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-10_b_ReAct/output/EXOTIC_output/AAVSO_Qatar-10 b_Qatar-10 b.txt,160.058,1076.000,1105.000,931.518,1173.875,1.000,0.000,73.317,80.640,52.728,569
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-1_b_ReAct,Qatar-1 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-1_b_ReAct/output/AAVSO_Qatar-1 b_2026-08-03.txt,242.845,517.000,117.000,274.360,126.982,0.750,2475.000,42.482,28.833,38.942,779
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/TRES-1_b_ReAct,TrES-1 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,no,,245.072,325.000,250.000,118.574,117.906,,,,,10.547,0
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/TRES-2_b_ReAct,TrES-2 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/TRES-2_b_ReAct/output/AAVSO_TRES-2b_08-17-2023.txt,47.783,1199.000,1197.000,1151.597,1203.016,0.500,3300.000,49.964,49.511,58.747,580
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-183_b_ReAct,WASP-183 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-183_b_ReAct/output/EXOTIC_output/AAVSO_WASP-183 b_03-30-2025.txt,1078.458,503.000,357.000,1182.339,1194.598,0.750,2475.000,18.060,4.103,51.508,556
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-43_b_ReAct,WASP-43 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-43_b_ReAct/output/AAVSO_WASP-43 b_03-12-2026.txt,0.055,1194.800,1201.700,1194.836,1201.742,0.500,2475.263,53.542,76.310,44.112,614
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-44_b_ReAct,WASP-44 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-44_b_ReAct/output/EXOTIC_output/AAVSO_WASP-44 b_07-15-2026.txt,305.981,226.000,301.000,23.349,71.746,0.500,2476.786,29.224,13.860,14.383,635
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-65_b_ReAct,WASP-65 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,no,,105.682,1188.000,1253.000,1177.536,1147.838,,,,,19.048,578
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-69_b_ReAct,WASP-69 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-69_b_ReAct/output/AAVSO_WASP-69 b_WASP-69 b.txt,1.882,1204.000,1223.000,1203.675,1221.146,0.500,2483.333,49.565,51.453,42.224,444
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/CoRoT-2_b_ReAct+Skills,CoRoT-2 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/CoRoT-2_b_ReAct+Skills/output/EXOTIC_output/AAVSO_CoRoT-2 b_08-02-2026.txt,372.426,377.000,94.000,4.607,98.987,1.000,0.000,23.140,17.187,48.559,767
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-13_b_ReAct+Skills,HAT-P-13 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-13_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-13 b_12-20-2024.txt,1.440,1106.000,1173.000,1106.857,1174.157,0.333,5849.396,59.201,58.502,27.278,466
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-19_b_ReAct+Skills,HAT-P-19 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-19_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-19 b_2026-07-11.txt,439.390,517.000,117.000,77.659,123.518,1.000,0.000,31.284,17.236,21.514,656
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-20_b_ReAct+Skills,HAT-P-20 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,no,,89.178,1156.000,1173.000,1245.154,1170.917,,,,,9.019,0
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-30_b_ReAct+Skills,HAT-P-30 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-30_b_ReAct+Skills/output/AAVSO_HAT-P-30 b_02-02-2020.txt,1.721,1520.000,1024.000,1520.871,1025.484,1.000,0.000,49.698,40.085,97.901,973
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-36_b_ReAct+Skills,HAT-P-36 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-36_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-36 b_03-18-2026.txt,,,,1174.920,1180.991,1.000,0.000,65.580,84.418,16.641,426
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HD_189733_b_ReAct+Skills,HD 189733 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,no,,,,,1211.379,1196.869,,,,,5.270,0
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-16_b_ReAct+Skills,KELT-16 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-16_b_ReAct+Skills/output/EXOTIC_output/AAVSO_KELT-16 b_07-07-2026.txt,0.051,1197.400,1205.500,1197.448,1205.481,1.000,0.000,1.461,0.093,87.442,987
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-20_b_ReAct+Skills,KELT-20 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-20_b_ReAct+Skills/output/EXOTIC_output/AAVSO_KELT-20 b_08-17-2023.txt,11.174,1125.000,1221.000,1136.163,1221.486,1.000,0.000,39.434,22.360,50.796,300
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-7_b_ReAct+Skills,KELT-7 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-7_b_ReAct+Skills/output/AAVSO_KELT-7 b_01-06-2017.txt,0.874,734.000,542.000,734.566,542.666,1.000,0.000,45.853,7.979,18.652,412
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-9_b_ReAct+Skills,KELT-9 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,no,,6.490,257.000,184.000,252.236,188.407,,,,,29.716,426
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-10_b_ReAct+Skills,Qatar-10 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-10_b_ReAct+Skills/output/AAVSO_Qatar-10 b_07-14-2024.txt,269.750,1200.000,1200.000,931.518,1173.875,0.500,3421002.632,69.406,138.873,29.966,809
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-1_b_ReAct+Skills,Qatar-1 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-1_b_ReAct+Skills/output/EXOTIC_output/AAVSO_Qatar-1 b_08-04-2026.txt,491.164,603.000,492.000,274.360,126.982,1.000,0.000,86.478,48.880,39.911,434
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/TRES-1_b_ReAct+Skills,TrES-1 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/TRES-1_b_ReAct+Skills/output/EXOTIC_output/AAVSO_TrES-1 b_2026-08-03.txt,136.605,227.000,201.000,118.574,117.906,1.000,0.000,23.260,17.938,36.440,444
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/TRES-2_b_ReAct+Skills,TrES-2 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/TRES-2_b_ReAct+Skills/output/EXOTIC_output/AAVSO_TrES-2 b_08-16-2023.txt,1090.405,460.000,360.000,1151.597,1203.016,1.000,0.000,22.150,28.866,58.783,748
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-183_b_ReAct+Skills,WASP-183 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-183_b_ReAct+Skills/output/AAVSO_WASP-183 b_03-29-2025.txt,0.773,1183.000,1195.000,1182.339,1194.598,1.000,0.000,25.511,2.051,62.581,535
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-43_b_ReAct+Skills,WASP-43 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,no,,,,,1194.836,1201.742,,,,,0.861,0
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-44_b_ReAct+Skills,WASP-44 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-44_b_ReAct+Skills/output/EXOTIC_output/AAVSO_WASP-44 b_07-15-2026.txt,305.533,260.000,265.000,23.349,71.746,1.000,0.050,27.837,13.160,41.089,750
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-65_b_ReAct+Skills,WASP-65 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-65_b_ReAct+Skills/output/EXOTIC_output/AAVSO_WASP-65 b_03-12-2026.txt,0.052,1177.500,1147.800,1177.536,1147.838,1.000,0.000,3.408,2.520,108.529,934
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-69_b_ReAct+Skills,WASP-69 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,yes,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/WASP-69_b_ReAct+Skills/output/EXOTIC_output/AAVSO_WASP-69 b_V.txt,21.463,1200.000,1200.000,1203.675,1221.146,0.000,4.707,48.624,38.398,45.731,578
