observation_path,observation,model,source_class,agent_framework,aavso_summary_path,aavso_summary_count,all_aavso_summary_paths,has_aavso_summary,aavso_exoplanet_name,aavso_star_name
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-20 b (ReAct+Skills),HAT-P-20 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-20 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-20 b_02-04-2025.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-20 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-20 b_02-04-2025.txt,yes,HAT-P-20 b,HAT-P-20
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-30 b (ReAct+Skills),HAT-P-30 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-36 b (ReAct+Skills),HAT-P-36 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-36 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-36 b_03-19-2026.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HAT-P-36 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HAT-P-36 b_03-19-2026.txt,yes,HAT-P-36 b,HAT-P-36
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HD 189733 b (ReAct+Skills),HD 189733 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HD 189733 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HD 189733 b_08-05-2026.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/HD 189733 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_HD 189733 b_08-05-2026.txt,yes,HD 189733 b,HD 189733
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-16 b (ReAct+Skills),KELT-16 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-16 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-16 b_2026-07-08.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-16 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-16 b_2026-07-08.txt,yes,KELT-16 b,KELT-16
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-20 b (ReAct+Skills),KELT-20 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-20 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-20 b_08-18-2023.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-20 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-20 b_08-18-2023.txt,yes,KELT-20 b,KELT-20
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-7 b (ReAct+Skills),KELT-7 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-7 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-7 b_01-06-2017.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-7 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-7 b_01-06-2017.txt,yes,KELT-7 b,KELT-7
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-9 b (ReAct+Skills),KELT-9 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-9 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-9 b_2023-09-24.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/KELT-9 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_KELT-9 b_2023-09-24.txt,yes,KELT-9 b,KELT-9
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-1 b (ReAct+Skills),Qatar-1 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-1 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_Qatar-1 b_2026-08-03.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-1 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_Qatar-1 b_2026-08-03.txt,yes,Qatar-1 b,Qatar-1
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-10 b (ReAct+Skills),Qatar-10 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-10 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_Qatar-10 b_07-15-2024.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/Qatar-10 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_Qatar-10 b_07-15-2024.txt,yes,Qatar-10 b,Qatar-10
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-1 b (ReAct+Skills),TrES-1 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-1 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_TrES-1 b_2026-08-02.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-1 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_TrES-1 b_2026-08-02.txt,yes,TrES-1 b,TrES-1
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-2 b (ReAct+Skills),TrES-2 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-2 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_TrES-2 b_2023-08-17.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/TrES-2 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_TrES-2 b_2023-08-17.txt,yes,TrES-2 b,TrES-2
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-183 b (ReAct+Skills),WASP-183 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-183 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-183 b_03-29-2025.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-183 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-183 b_03-29-2025.txt,yes,WASP-183 b,WASP-183
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-43 b (ReAct+Skills),WASP-43 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-43 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-43 b_03-12-2026.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-43 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-43 b_03-12-2026.txt,yes,WASP-43 b,WASP-43
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-44 b (ReAct+Skills),WASP-44 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-65 b (ReAct+Skills),WASP-65 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-65 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-65 b_2026-03-12.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-65 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-65 b_2026-03-12.txt,yes,WASP-65 b,WASP-65
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-69 b (ReAct+Skills),WASP-69 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-69 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-69 b_09-24-2025.txt,1,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct+Skills/WASP-69 b (ReAct+Skills)/output/EXOTIC_output/AAVSO_WASP-69 b_09-24-2025.txt,yes,WASP-69 b,WASP-69
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/CoRoT-2_b_ReAct,CoRoT-2 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/CoRoT-2_b_ReAct/output/AAVSO_CoRoT-2 b_08-02-2026.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/CoRoT-2_b_ReAct/output/AAVSO_CoRoT-2 b_08-02-2026.txt,yes,CoRoT-2 b,CoRoT-2
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-13_b_ReAct,HAT-P-13 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-19_b_ReAct,HAT-P-19 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-20_b_ReAct,HAT-P-20 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-20_b_ReAct/output/AAVSO_HAT-P-20 b_02-04-2025.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-20_b_ReAct/output/AAVSO_HAT-P-20 b_02-04-2025.txt,yes,HAT-P-20 b,HAT-P-20
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-30_b_ReAct,HAT-P-30 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HAT-P-36_b_ReAct,HAT-P-36 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/HD_189733_b_ReAct,HD 189733 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-16_b_ReAct,KELT-16 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-16_b_ReAct/output/AAVSO_KELT-16 b_07-08-2026.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-16_b_ReAct/output/AAVSO_KELT-16 b_07-08-2026.txt,yes,KELT-16 b,KELT-16
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-20_b_ReAct,KELT-20 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-7_b_ReAct,KELT-7 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-7_b_ReAct/output/AAVSO_KELT-7 b_01-06-2017.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-7_b_ReAct/output/AAVSO_KELT-7 b_01-06-2017.txt,yes,KELT-7 b,KELT-7
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-9_b_ReAct,KELT-9 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-9_b_ReAct/output/AAVSO_KELT-9 b_09-25-2023.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/KELT-9_b_ReAct/output/AAVSO_KELT-9 b_09-25-2023.txt,yes,KELT-9 b,KELT-9
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-10_b_ReAct,Qatar-10 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-10_b_ReAct/output/EXOTIC_output/AAVSO_Qatar-10 b_Qatar-10 b.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-10_b_ReAct/output/EXOTIC_output/AAVSO_Qatar-10 b_Qatar-10 b.txt,yes,Qatar-10 b,Qatar-10
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-1_b_ReAct,Qatar-1 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-1_b_ReAct/output/AAVSO_Qatar-1 b_2026-08-03.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/Qatar-1_b_ReAct/output/AAVSO_Qatar-1 b_2026-08-03.txt,yes,Qatar-1 b,Qatar-1
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/TRES-1_b_ReAct,TrES-1 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/TRES-2_b_ReAct,TrES-2 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/TRES-2_b_ReAct/output/AAVSO_TRES-2b_08-17-2023.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/TRES-2_b_ReAct/output/AAVSO_TRES-2b_08-17-2023.txt,yes,TRES-2b,TrES-2
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-183_b_ReAct,WASP-183 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-183_b_ReAct/output/EXOTIC_output/AAVSO_WASP-183 b_03-30-2025.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-183_b_ReAct/output/EXOTIC_output/AAVSO_WASP-183 b_03-30-2025.txt,yes,WASP-183 b,WASP-183
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-43_b_ReAct,WASP-43 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-43_b_ReAct/output/AAVSO_WASP-43 b_03-12-2026.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-43_b_ReAct/output/AAVSO_WASP-43 b_03-12-2026.txt,yes,WASP-43 b,WASP-43
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-44_b_ReAct,WASP-44 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-44_b_ReAct/output/EXOTIC_output/AAVSO_WASP-44 b_07-15-2026.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-44_b_ReAct/output/EXOTIC_output/AAVSO_WASP-44 b_07-15-2026.txt,yes,WASP-44 b,WASP-44
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-65_b_ReAct,WASP-65 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-69_b_ReAct,WASP-69 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-69_b_ReAct/output/AAVSO_WASP-69 b_WASP-69 b.txt,2,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-69_b_ReAct/output/AAVSO_WASP-69 b_09-24-2025.txt|ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct/WASP-69_b_ReAct/output/AAVSO_WASP-69 b_WASP-69 b.txt,yes,WASP-69 b,WASP-69
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/CoRoT-2_b_ReAct+Skills,CoRoT-2 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/CoRoT-2_b_ReAct+Skills/output/EXOTIC_output/AAVSO_CoRoT-2 b_08-02-2026.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/CoRoT-2_b_ReAct+Skills/output/EXOTIC_output/AAVSO_CoRoT-2 b_08-02-2026.txt,yes,CoRoT-2 b,CoRoT-2
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-13_b_ReAct+Skills,HAT-P-13 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-13_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-13 b_12-20-2024.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-13_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-13 b_12-20-2024.txt,yes,HAT-P-13 b,HAT-P-13
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-19_b_ReAct+Skills,HAT-P-19 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-19_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-19 b_2026-07-11.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-19_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-19 b_2026-07-11.txt,yes,HAT-P-19 b,HAT-P-19
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-20_b_ReAct+Skills,HAT-P-20 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-30_b_ReAct+Skills,HAT-P-30 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-30_b_ReAct+Skills/output/AAVSO_HAT-P-30 b_02-02-2020.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-30_b_ReAct+Skills/output/AAVSO_HAT-P-30 b_02-02-2020.txt,yes,HAT-P-30 b,HAT-P-30
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-36_b_ReAct+Skills,HAT-P-36 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-36_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-36 b_03-18-2026.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HAT-P-36_b_ReAct+Skills/output/EXOTIC_output/AAVSO_HAT-P-36 b_03-18-2026.txt,yes,HAT-P-36 b,HAT-P-36
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/HD_189733_b_ReAct+Skills,HD 189733 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-16_b_ReAct+Skills,KELT-16 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-16_b_ReAct+Skills/output/EXOTIC_output/AAVSO_KELT-16 b_07-07-2026.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-16_b_ReAct+Skills/output/EXOTIC_output/AAVSO_KELT-16 b_07-07-2026.txt,yes,KELT-16 b,KELT-16
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-20_b_ReAct+Skills,KELT-20 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-20_b_ReAct+Skills/output/EXOTIC_output/AAVSO_KELT-20 b_08-17-2023.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-20_b_ReAct+Skills/output/EXOTIC_output/AAVSO_KELT-20 b_08-17-2023.txt,yes,KELT-20 b,KELT-20
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-7_b_ReAct+Skills,KELT-7 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-7_b_ReAct+Skills/output/AAVSO_KELT-7 b_01-06-2017.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-7_b_ReAct+Skills/output/AAVSO_KELT-7 b_01-06-2017.txt,yes,KELT-7 b,KELT-7
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/KELT-9_b_ReAct+Skills,KELT-9 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,,0,,no,,
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-10_b_ReAct+Skills,Qatar-10 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-10_b_ReAct+Skills/output/AAVSO_Qatar-10 b_07-14-2024.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-10_b_ReAct+Skills/output/AAVSO_Qatar-10 b_07-14-2024.txt,yes,Qatar-10 b,Qatar-10
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-1_b_ReAct+Skills,Qatar-1 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-1_b_ReAct+Skills/output/EXOTIC_output/AAVSO_Qatar-1 b_08-04-2026.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/Qatar-1_b_ReAct+Skills/output/EXOTIC_output/AAVSO_Qatar-1 b_08-04-2026.txt,yes,Qatar-1 b,Qatar-1
ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/TRES-1_b_ReAct+Skills,TrES-1 b,qwen/qwen3.6-35b-a3b,OpenRouter,ReAct+Skills,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/TRES-1_b_ReAct+Skills/output/EXOTIC_output/AAVSO_TrES-1 b_2026-08-03.txt,1,ANONYMIZED_RESULTS/qwen/qwen3.6-35b-a3b/ReAct+Skills/TRES-1_b_ReAct+Skills/output/EXOTIC_output/AAVSO_TrES-1 b_2026-08-03.txt,yes,TrES-1 b,TrES-1
